title,bedrooms,price,location,post_time
One bed flat!! Best of Bushwick and Bed-Stuy,1br,2350,bushwick,2/3
CHEAP THREE BED FLAT -  AVAILABLE NOW😳😳,3br,2800,ocean hill,2/3
The perfect 3 bed + office ~ private outdoor space - laundry in-unit,3br,4100,bedford-stuyvesant,2/3
"LARGE AND MODERN ~ 4 BED, 2 FULL BATHROOMS! ~ GREAT LOCATION",4br,3800,ridgewood,2/3
Large 2BR with Dishwasher + Washer & Dryer Close to 2/3/4/5/A/C Trains,2br,3095,crown heights / franklin ave,2/3
Private Basement with private full Bath Available in Bedstuy,,1999,bedstuy,2/3
Charming 1 Bedroom in Prime Boerum Hill,1br,2551,boerum hill,2/3
Renovated 1 Bedroom with W/D right by Prospect Park!,1br,1950,prospect park south/prospectpark,2/3
You will love this 1 bed / 1 bath. A Higher Quality of Living!,1br,2080,stamford,2/3
Spacious 2 Bed /1 Bath Apartment!,2br,2100,flatbush,2/3
Large Studio with Bedroom partition & Separate Eat In Kitchen,studio,1635,new rochelle,2/3
Upper East Side 1 bed 1 bath between 2nd and 3rd UES MOVE IN ASAP,1br,2775,upper east side,2/3
Charming Crown Heights 2 Bedroom w Renovated Bathroom Kitchen,2br,2600,crown heights,2/3
NEW Studio Available Great Location Crown Heights 2382 Dean St,studio,1799,brooklyn,2/3
"East Village Studio, Dishwasher",studio,2550,east village,2/3
HUGE Rent Stabilized 1Bed in PRIME FLUSHING! MUST SEE!,1br,1741,flushing,2/3
Renovated & large 2BR! *ALL UTILITIES INCLUDED*,2br,2200,whitestone,2/3
STUDIO * HARLEM * VIEWS OF THE RIVER * LAUNDRY * PARKING * MAIL ROOM,studio,2295,harlem / morningside,2/3
Best bang for your buck. Price to give you highend luxury with space!,,2800,financial district,2/3
CONDO FINISHES!TOP FLOOR=LUXURY HIGH RISE=12 FT CEILINGS=LARGE CLOSETS,,2700,financial district,2/3
NO WAY!MASSIVE=TOP FLOOR= FREE GYM=BAMBOO WOOD FLOORS=HIGH CEILINGS,,2800,financial district,2/3
1 Bed near Prospect Park! No Broker Fee!,1br,2050,prospect lefferts gardens,2/3
"NO FEE!! LARGE 1 BEDROOM, 2 SUBWAY LINES TO THE CITY",1br,1390,morris heights,2/3
Near NYC Bayonne House 2 Bedroom KingBeds Pet Okay New Appliances No F,2br,1750,"bayonne, jersey city, hoboken, nyc, new york city, manhattan",2/3
THE STUYVESANT HEIGHTS DELIGHT,,2600,stuyvesant heights,2/3
SPACIOUS SUNNY MURRAY HILL ALCOVE STUDIO OASIS___FULLY LOADED BLDG!,studio,2995,murray hill,2/3
THE SWEET TOOTH STUDIO,studio,2500,fort greene,2/3
THE FORT GREENE CASTLE,,3500,fort greene,2/3
4Br/2Ba Sweet location in the Hart of Bed-Stuy Over 1000 SF,4br,3499,bed-stuy,2/3
3Br/2Ba - W/D - Private Backyard - Over 1000 SF!!!,3br,3895,bed-stuy,2/3
"Brand New PH Private Roof , Balcony, W/D in unit, 2Full Bath, Storage",,3350,bed-stuy,2/3
"Brand New Everything, Central A/C, W/D in unit, Dishwasher, and more",,2850,bed-stuy,2/3
Loft Style 2 Bed with a Balcony!,2br,3100,financial district,2/3
Huge 3bdrm apartment in private home near bartow ave,3br,2599,bronx,2/3
Renovated*Spacious 3 Bedroom* Close to Shops and Trains,3br,2500,east flatbush,2/3
SPACIOUS 2 BEDROOM FOR RENT,2br,2300,east flatbush,2/3
Great deal in Central Riverdale! 1BR for 1340 per Month for 06/01,1br,1340,riverdale,2/3
WONT LAST~~~~NATURAL LIGHT~~~~OVER SIZED WINDOWS~~~~LOTS OF CLOSET SPA,,4270,financial district,2/3
809 #2A NEWELY RENOVATED TWO BEDROOM IN PRIME LOCATION,2br,2595,brooklyn,2/3
823 #2B CONVENIENTLY LOCATED STUDIO.,studio,1750,brooklyn,2/3
"4515 #B5 NO FEE, QUIET ONE BEDROOM UNIT.",1br,1495,brooklyn,2/3
1315 #6C CHEAP AND AFFORDABLE ONE BEDROOM,1br,1395,brooklyn,2/3
Beautiful 4 Bed & 2 Bath W/D in unit central air NO FEE,4br,3600,bushwick,2/3
"Sleek 3BR near Barclays, R Train, & More! ***NO FEE***",3br,4200,gowanus,2/3
Spacious Sun-drenched Studio. Elevator* Live in Super! N-W Trains,studio,1600,astoria,2/3
Private Basement with private full Bath Available in Bedstuy,,1999,bedstuy,2/3
"Great Value*True 3 bed & 2 bath, Great natural light, lots of clos",3br,2700,crown heights,2/3
NO FEE 4BR 2.5BATH Apartment - FURNISHED!,4br,3895,"bellerose, ny",2/3
Sunny 1 Bedroom Apt for Single Tenant,1br,1350,fresh meadows/ flushing,2/2
Renovated 3bed/2 bath Available for Immediate Occupancy,3br,4000,crown heights,2/2
Renovate 3 large bedroom/2 bath apt available for immediate occupation,,4200,crown heights,2/2
Breathtaking apartment!!!!,,6999,financial district,2/2
Large and Beautiful apartment in FIDI!!!,,6390,financial district,2/2
2 Bedroom Apartment for Rent,2br,2200,brooklyn,2/2
AMAZING 1 BED 1 BATH IN CLINTON HILL!,1br,2200,clinton hill,2/2
Beautiful Apartment!!!,,4995,financial district,2/2
SPACIOUS 3 BED DUPLEX IN PRIME BUSHWICK!,3br,3500,bushwick,2/2
"$150/night short term 1BR -Crown Heights renov 1 Bedroom Apt, Backyard",1br,150,"crown heights, brooklyn",2/2
*MASSIVE* 5 BED 2 BATH BORDER OF BUSHWICK AVAILABLE FOR *ASAP* MOVE IN,5br,4999,stuyvesant heights,2/2
"🔥 CHARMING ""2 BR. "" / 💏 WING STYLE / 📍 WEST 55 ST. & 8 AV.",2br,2850,midtown west,2/2
NO FEE 2 Bed - Washer/Dryer in Williamsburg,2br,3200,"williamsburg, brooklyn",2/2
"AMAZING LOCATION! HALF Block from Maria Hernadez, Jefferson L Train!!!",,3000,bushwick,2/2
"VERY SPACIOUS 2Bed,By Maria Hernandez 1.5 bath HEAT HOT WATER INCLUDED",2br,2850,bushwick,2/2
"Crown Heights Renovated 3 Bed 2 Bath, Giant Bedrooms and Livingroom",3br,3600,crown heughts,2/2
"Studio in Murray Hill , elevator building , steps to 6,M, E train",studio,2406,midtown east,2/2
Beautiful 3 bedroom for rent in Sunset Park Brooklyn,3br,2500,brooklyn,2/2
*AMAZING DEAL* 2 WEEKS FREE! DUPLEX IN WILLIAMSBURG! WITH W/D IN UNIT!,,4646,williamsburg,2/2
EXTRA HUGE MASSIVE FACTORY LOFT CRAZY CHARACTER! LARGE COMMON AREA!!!!,,5800,"bushwick near the broadway/gates ave j,m,z  train station",2/2
Incredible Low Price a 67 Wall Street 1 Bedroom.,1br,3050,financial district,2/2
"cozy, updated two-bedroom in West Village",,3295,west village,2/2
GORGEOUS 3 BED 1.5 BATH W/ PRIVATE YARD NEAR MARIA HERNANDEZ PARK!,3br,3200,bushwick,2/2
Garden Apartment Available!!!,,1600,east elmhurst,2/2
Spacious Greenpoint Two Bedroom with Washing machine,2br,3353,greenpoint,2/2
Stylish Living in Greenpoint Brooklyn on India St -2BD,2br,3525,brooklyn,2/2
*SUNNY 1BR/1BTH*SWIMMING POOL*GYM*PARK*UES!,1br,4495,upper east side,2/2
COZY MODERN STUDIO EXPOSED BRICK CENTRAL AIR/HEAT LAUNDRY BIKE ROOM,studio,1700,"bed-stuy herbert von king park near g,a,c lines",2/2
HUGE 3 BED IN GOWANUS/PARK SLOPE!! **LAUNDRY IN BUILDING**,3br,4200,park slope,2/2
AMAZING TRUE 1 BEDROOM in FIDI!!,1br,3050,financial district,2/2
2 BED PLUS LARGE BASEMENT AND BACKYARD IN CLINTON HILL!!!! **MUST SEE*,2br,3000,clinton hill,2/2
Massive 1 Bed in Bed-Stuy by Herbert Von King Park! {REF#460},1br,2550,bed-stuy,2/2
ARTIST DREAM,,3295,brooklyn ny,2/2
Condo Style 1 Bed,1br,3650,brooklyn,2/2
Artsy Studio - Private roof deck,studio,2850,brooklyn,2/2
RENOVATED SPACIOUS STUDIO APARTMENT,studio,1550,yonkers,2/2
Rare 3 Bed in luxury building,3br,3695,brooklyn,2/2
3 BED AVAILABLE IN CROWN HEIGHTS!! **GYM AND FURNISHED ROOFTOP!!**,3br,2850,crown heights,2/2
PRIME WILLIAMSBURG HUGE 2BR 2BA HUGE TERRACE LAUNDRY CALL ASAP,2br,5949,brooklyn,2/2
PRIME WILLIAMSBURG WATERFRONT LUXURY 2BR BEST PRICE CALL ASAP,2br,4107,brooklyn,2/2
Roommate Call! Lux building/ GYM/ROOF/LOUNGE/BIKE ROOM/THEATER/OFFICE,,1500,flatbush/brooklyn,2/2
Beautiful Apartment in Chelsea!!!,,7470,chelsea,2/2
*NO FEE* Bright and convenient 1BR on 28th Street in LIC!,1br,3500,long island city,2/2
Penthouse 3 bed 1.5 bth/Private roof/Gym/Laundry/Bike /lounge/Ac,3br,4950,downtown brooklyn,2/2
Large 1 Bed Near Marble Hill Shopping area,1br,1600,bronx,2/2
MASSIVE 4 BED 2 BATHROOM___IN UNIT LAUNDRY__NO FEE__BUSHWICK,4br,3600,bushwick,2/2
DUPLEX**PRVATE ROOFDECK**ENDLESS LIGHT**2 BATHROOM**NO FEE,,2900,crown heights,2/2
🟥Williamsburg🟩LARGE 1BR+Office/Private Backyard G/J/M TRAIN NO FEE,1br,2799,williamsburg,2/2
2 bedroom Astoria,2br,2900,upper ditmars,2/2
~LOTS OF WINDOWS~SPACIOUS~W/D IN UNIT~,,3937,financial district,2/2
Room for rent $900,,900,east new york,2/2
Roommate Call! Lux building/ GYM/ROOF/LOUNGE/BIKE ROOM/THEATER/OFFICE,,1500,flatbush/brooklyn,2/2
Beautiful Apartment in Chelsea!!!,,7470,chelsea,2/2
*NO FEE* Bright and convenient 1BR on 28th Street in LIC!,1br,3500,long island city,2/2
Penthouse 3 bed 1.5 bth/Private roof/Gym/Laundry/Bike /lounge/Ac,3br,4950,downtown brooklyn,2/2
Large 1 Bed Near Marble Hill Shopping area,1br,1600,bronx,2/2
MASSIVE 4 BED 2 BATHROOM___IN UNIT LAUNDRY__NO FEE__BUSHWICK,4br,3600,bushwick,2/2
DUPLEX**PRVATE ROOFDECK**ENDLESS LIGHT**2 BATHROOM**NO FEE,,2900,crown heights,2/2
🟥Williamsburg🟩LARGE 1BR+Office/Private Backyard G/J/M TRAIN NO FEE,1br,2799,williamsburg,2/2
2 bedroom Astoria,2br,2900,upper ditmars,2/2
~LOTS OF WINDOWS~SPACIOUS~W/D IN UNIT~,,3937,financial district,2/2
Room for rent $900,,900,east new york,2/2
RENT STABILIZED STEAL !!  SEE TODAY.. 2 AVAILABLE.,,2199,chinatown / lit italy,2/2
SPACIOUS~~WATER VIEWS~~W/D IN UNIT!!!,,7150,financial district,2/2
APATAMENTO 3 DORMITORIOS 56AV Y VANCLEEF ST CORONA,,2800,corona queens ny,2/2
Roommate Call! Lux building/ GYM/ROOF/LOUNGE/BIKE ROOM,,1525,bedstuy/brooklyn,2/2
"""STRAIGHT UP CLASS"" GORGEOUS GIGANTC 1BR-DM/ELEV/LNDRY/GYM-DW-CNTRL PK",1br,3900,upper east side,2/2
Spacious modern unit in a private house Inc. All Utilities,,1300,east ny,2/2
"🔥PERFECT ""FLEX 3 BR."" / 👉WATCH VIDEO / 📍HELL'S KITCHEN W. 46 ST.& 9AV.",3br,2995,midtown west,2/2
2 BEDROOM APARTMENT FOR RENT,2br,1700,queens ny,2/2
🌟 Bushwick 3 bed 1.5 Bath and Backyard! $3200,3br,3200,bushwick,2/2
🌟Gorgeous Crown Heights 1 Bed! Chipotle down the street! $2300,1br,2300,crown heights,2/2
🌟 Bright Crown Heights 3 Bedroom Apartment! $2800,3br,2795,crown heights,2/2
🌟Ridgewood 3 Bed 2.5 Bath! Gorgeous! $3500,3br,3500,ridgewood,2/2
"Beautiful studio in heart of Forest Hills, 24hr doorman -FREE Internet",studio,1550,forest hills,2/2
_WHITE GLOVE SERVICE_____WASHER & DRYER_____ULTRA LUXURY,,5200,financial district,2/2
"""ULTIMATE APT!"" BEAUTIFUL(LUXURY)2BR/2.5BA-VIRT DM/ELEV/GYM-WD UNIT-DW",2br,9500,upper east side,2/2
Corner______Windows in all rooms________extra storage_,,3878,financial district,2/2
"@ Spacious 3bed/1bath Apt w/i"" Heat"" incld. + Subway (D)",3br,2300,"dyker heights, ny",2/2
Beautiful  Ground floor 2 bedroom apartment,2br,1900,ridgewood,2/2
*** Great location *** Large bedrooms *** Huge living room ***,,3400,astoria,2/2
Renovated 1BR w/ Washer & Dryer + Dishwasher Right By Park & B/Q Train,1br,1950,prospect park south / flatbush / ditmas park,2/2
Ridgewood 3.5 Bed!,5br,3475,ridgewood,2/2
Downtown Brooklyn 3 Bed!,3br,8800,downtown brooklyn,2/2
Bushwick 2 Bed!,2br,2195,bushwick,2/2
Williamsburg 2 Bed!,2br,3200,williamsburg,2/2
Bed-Stuy 1 Bed!,1br,2300,bed-stuy,2/2
Crown Heights 4 Bed!,4br,3700,crown heights,2/2
Gowanus 4 Bed!,4br,5000,gowanus,2/2
"Prospect Heights - Studio, Fully furnished, In-unit washer/dryer",studio,3120,brooklyn,2/2
2 bed / 2 bath Crown Heights (rent stabilized + no fee),2br,3650,brooklyn,2/2
"@ Renovated 2bed/1bath Apt w/i ""Backyard"" @",2br,1900,"flushing, ny",2/2
Furnished bedroom in RVC w/ private entrance,,950,rockville centre,2/2
Hell's Kitchen Rent Stabilized Large Charming Studio w/ Eat-in Kitchen,studio,2500,midtown west,2/2
STUNNING STUDIO DUPLEX ***NO FEE***,studio,2500,crown heights,2/2
█ ▶ no fee*ENDLESS APT*3BR3LR*$3937 net rent,3br,3990,brooklyn,2/2
* 2 BED W/ IN UNIT LAUNDRY * NATURAL LIGHT * HEAT AND HOT WATER INCL,2br,2382,brooklyn,2/2
NO FEE * NEWLY RENOVATED 3 BED * 2 BATHS * HUGE BEDROOMS *,3br,2899,brooklyn,2/2
No fee!GORGEOUS reno1BR*d/w*w/d*AIR*PRIVATE ROOF•,1br,3899,prospect heights,2/2
2 Bed w/ in-unit Washer + Dryer & Backyard!,2br,2599,"flatbush, near winthrop 2 and 5 train lines.",2/2
"Gorgeous 1 Bed in Renovated Building w/ Backyard, Rood & Laundry!",1br,2399,"bushwick, 500 feet from the kosciusko st j train.",2/2
Gorgeous 3 Bed with Private Balcony near Prospect Park available!,3br,2850,"flatbush, short walk from the beverly rd. 2 & 5 train lines.",2/2
tremendous 2 bedroom with extra room Eat In Kitchen heat included,2br,2500,bay ridge,2/2
1 Bedroom Ground Level Apartment,1br,1800,"bedford park, bronx",2/2
"3 Bed 2 Bath Duplex w/ Laundry, Roof Deck, Game Room, & Gym!",3br,3599,"ridgewood, near m & l train lines.",2/2
Fully Furnished Apt. in Bed-Stuy March'23-April '24,,2700,bed-stuy,2/2
We meet all your must haves! Great amenities! Fantastic Studio bath,studio,1804,stamford,2/2
Large and quiet 2 bedroom apartment in prime location!,2br,2350,"staten island, grant city",2/2
Staten Island Castleton Corners 1BR-w/full backyard & parking spot-,1br,1850,castleton corners staten island,2/2
PROSPECT HEIGHS - PRIME LOCATION - AMENITES - NO FEE,,3435,prospect heights,2/2
PROSPECT HEIGHS - PRIME LOCATION - AMENITES - NO FEE,,5850,prospect heights,2/2
BEST DEAL! APARTMENT IN UPPER EAST SIDE,,4495,upper east side,2/2
~LOTS OF LIGHTING~W/D IN UNIT~,,3570,financial district,2/2
~SPACIOUS~LOTS OF NATURAL LIGHT~W/D IN UNIT!!,,3277,financial district,2/2
Modern 1BR pouring w/ Sun☀️just blocks from J/Z 👑,1br,2650,"bushwick, brooklyn",2/2
Fully Furnished Chelsea Garden Paradise with Natural Light!,,7800,chelsea,2/2
2 BR + Office apt w/ Amazing Light☀️great closet space🌲,2br,3250,"stuyvesant heights, brooklyn",2/2
Modern 3 bedroom 2 bath apartment crown heights brooklyn  ny No broker Fee,3br,3775,brooklyn,2/2
2 Bed 2 Bath Duplex🧱 w/ Private Roof🌲& Central Air💧,2br,2800,"flatbush, brooklyn",2/2
Large New 3 bedroom apartment.,3br,3000,brooklyn,2/2
**GORGEOUS SUNNY 3 BED/ 1 BATH APARTMENT IN CROWN HEIGHTS**,3br,2995,crown heights,2/2
**GORGEOUS SUNNY 3 BED/ 1 BATH APARTMENT IN CROWN HEIGHTS**NO FEE**,3br,2850,crown heights,2/2
No Fee!! MUST SEE this spacious 2 beds flex with  Stunning Views,2br,3980,financial district,2/2
STUNNING PHA APARTMENT TERRACE BALCONY,,3695,murray hill,2/2
Happy renters live at Residences on ford! Beautiful community!,,1709,stamford,2/2
🛑PROSPECT PARK🟢Luxury New 3BR/GYM/Laundry/Elevator B/Q/2/5Train,3br,3099,prospect lefferts gardens,2/2
🌟Massive Crown Heights 3 bed 2 bath! $3150!,3br,3150,crown heights,2/2
🌟Ridgewood 3 Bed 2.5 Bath! Gorgeous! $3500,3br,3500,ridgewood,2/2
🌟 Bright Crown Heights 3 Bedroom Apartment! $2800,3br,2795,crown heights,2/2
🌟Gorgeous Crown Heights 1 Bed! Chipotle down the street! $2300,1br,2300,crown heights,2/2
🌟 Bushwick 3 bed 1.5 Bath and Backyard! $3200,3br,3200,bushwick,2/2
No fee large three bedroom with W/D in unit in prime Bedstuy,3br,3175,bedstuy,2/2
MUST SEE this spacious FLEX 2 with BREATH TAKING Views !NO FEE,,3600,financial district,2/2
Two Bedroom Apartment for rent,2br,1800,bridgeports beardsley park area,2/2
NEW AND BEAUTIFUL 2 BED 1 BATH READY!,2br,2200,brownsville,2/2
Bright 1BD/1BA in FIDI. Luxury Building. 2 Month Free on 12 Month Leas,1br,3667,financial district,2/2
Apartamento de un dormitorio,,1650,brooklyn coney island,2/2
Modern 2BD/2BA + W/D in FIDI. Luxury Building. 1 Month Free + NO Fee!,2br,5042,financial district,2/2
ID:1416076 Beautiful & Spacious 3 Bedroom Apartment for Rent,3br,2700,whitestone,2/2
Beautiful Luxury 1 Bedroom! NO FEE! Luxury Full Service Building wPOOL,1br,3995,downtown brooklyn / brooklyn heights / boerum hill,2/2
Spacious 3 bed 2 bath apt in Bedstuy,3br,2900,stuvyesant heights,2/2
True 2BR in Mega-Luxury Building w/ Full-scale gym & more,2br,4000,"bushwick, brooklyn",2/2
JUNIOR ! BR_LOWER EAST SIDE_PETS OK_NEAR NYU,,2650,lower east side,2/2
Stunning 2 bed with huge private terrace and laundry in unit. No fee!,2br,4700,gowanus,2/2
MUST SEE!!! 2 level spiral staircase  *Renovated* W/D*,,6495,east village,2/2
DONT MISS OUT ON THIS 3 BDRM GEM JN BEDSTUY***MASSIVE BACKYARD***,3br,3995,bedford stuyvesyant,2/2
3 bd apartment for rent,3br,2500,rockaway park,2/2
"Modern, Grandiose Newly Remodeled, Spacious Bronx Apartment",,3900,"wakefield, bronx",2/2
"Modern, Impressive Newly Remodeled, Spacious Bronx Apartment",,4400,"wakefield, bronx",2/2
"Zoom on over for a look at our great 2 bed, 1 bath! 922 Sq Ft!",2br,2240,stamford,2/2
Gorgeous 3 Bed 2.5 Bath Apt!! **M Train**,3br,3200,ridgewood,2/2
Charming Convertible 2 Bedroom - Top Floor Unit,2br,3000,financial district,2/2
Spacious Convertible 1BR with High-End Amenities in Prime Location,1br,2600,financial district,2/2
Beautiful 4 Bed & 2 Bath W/D in unit central air NO FEE,4br,3600,bushwick,2/2
Brand New Luxury 2 Bed Downtown Brooklyn Stunning Views!! NO FEE !!,2br,5995,prospect heights / brooklyn heights / downtown,2/2
Spacious 3 bedroom Duplex in Bushwick! NO FEE,3br,3450,bushwick,2/2
Brand New Luxury 1 Bed Downtown Brooklyn Stunning Views!! NO FEE !!,1br,4070,prospect heights / brooklyn heights / downtown,2/2
MASSIVE 3 BEDROOM 1 BATH** LAUNDRY IN UNIT**NO FEE,3br,2799,flatbush,2/2
Gorgeous Brand new Full Service Building! NO FEE + Months Free !,,3250,prospect heights / brooklyn heights / downtown,2/2
"Apartment by owner (Bridgeport, CT)",,1500,bridgeport,2/2
2 Bed 2 Bath Duplex + Private roofdeck!!! No fre,2br,2900,crownheights,2/2
Brand New Luxury 1 Bed Downtown Brooklyn Stunning Views!! NO FEE !!,1br,3625,downtown brooklyn / brooklyn heights / boerum hill,2/2
"VERY LARGE 2 BEDROOM, 2 FULL BATHROOM DUPLEX, Location!",2br,4100,williamsburg,2/2
Gorgeous Brand New Luxury 2 Bed 2 Bath Downtown BK !! NO FEE !!,2br,5564,downtown brooklyn / brooklyn heights / boerum hill,2/2
3 Bedroom in Prime Bushwick! Feb 1st or asap move in!,3br,3500,brooklyn,2/2
River View! ~ 1/4 mile to Train/Village~,,2195,hastings on hudson,2/2
RENT STABILIZED 2bed Nostr. & Linden PLG!! great deal,2br,2400,brooklyn,2/2
"Different views, different sizes, and different prices we have it all!",,1975,stamford,2/2
Gorgeous renovated 2 br / 1 ba apt in Great Crown Heights Location!,2br,3234,crown heights,2/2
Gorgeous newly renovated 2 br / 2 ba apt in Prime Crown Heights!,2br,3247,crown heights,2/2
Renovated 3-bedroom apt on quiet tree lined block! Great Location!,3br,3644,south slope / park slope,2/2
"H/H included, Dishwasher, Updated Kitchen, Bars, Restaurants, Shopping",,2550,bed-stuy,2/2
"Washer/Dryer, Dishwasher, Stainless Steel Appliances",,2700,bushwick,2/2
S. Williamsburg Prewar Renovated 3 Bed 2 Full Bathroom,3br,3800,williamsburg,2/2
"Massive Duplex, Dishwasher, Stainless Steel Appliances, W/D installed",,7250,crown heights,2/2
Crown heights /Prospect heights - Beautiful 1 Bedroom - Brownstone!!,1br,2050,crown heights,2/2
MASSIVE/SUPER BRIGHT 3 BEDROOM IN EAST FLATBUSH,3br,2800,east flatbush,2/2
MASSIVE 4 BED 2 BATHROOM___IN UNIT LAUNDRY__NO FEE__BUSHWICK,4br,3600,bushwick,2/2
☆☆☆NEW!☆☆☆ 2Bedroom Apartment // 2Cuartos Apartamento Nuevo! ☆☆,2br,2300,richmond hill,2/2
ABSOLUTE BARGAIN DEAL_TRUE 3 BR_EAST VILLAGE_BEST BARGAIN,3br,4150,east village,2/2
DEAL ALERT SPCIOUS 2 BEDROOM IN CROWN HEIGHTS **NO FEE,2br,2200,crownheights,2/2
MUST SEE!!! Renovated * Laundry in Unit *Roof Deck*,,5495,union square,2/2
"Harborpoint Special 1 BR,$2100,Hardwd,W/D,Terr,Dwntwn",1br,2100,"stamford, ct",2/2
HUDSON YARD_AFFORDABLE_1 BR_RARE FIND,1br,2450,midtown west,2/2
***1Bedroom Apartment  Ready ⚡️⚡️⚡️⚡️,1br,1750,richmond hill,2/2
☆☆☆☆☆☆ 3CUARTOS APARTAMENTO LiSTO HOY<~~~~ ☆☆☆☆☆☆,,2800,corona queens,2/2
"$1,3oo STUDIO ~ UTILITIES INCLUDED",studio,1,"roosevelt avenue, main street - flushing",2/2
E. Williamsburg / Bushwick - Beautiful 2 Bed /2 Bath - No fee,2br,2999,east williamsburg / bushwick,2/2
"$1,4oo STUDIO 1st Floor w/Yard+Driveway - PETS OK!",studio,1,near local+express #7 trains ~ no credit? no problem!,2/2
"$2,25o 2Bed 1Bath’s w/Rooftop+Elevator+Laundry",2br,2,25mins to midtown - new condo building,2/2
SPACIOUS 3 BED 2 BATH IN BEDSTUY!! **NO FEE**,3br,2800,brooklyn,2/2
"$3,2oo 3Bed 2Bath w/BBQ.Pit+Yard+2.Balconies+Parking PETS OK!",3br,3,near r+m+#7 trains- off broadway,2/2
PATHWAY TO PRISTINE 3BR-SPACIOUS LIVNG RM-QN BR-SS-DW-MARB BA-UNION SQ,3br,4850,gramercy,2/2
HOT DEAL!! GORGEOUS 3 BED!!! RENOVATED!!,3br,2795,crown heights,2/2
"STRAIGHT UP ""GORGEOUS!"" BEAUTIFUL(LG)1BR-DM/ELEV/LDRY-VIEW-SS-DW-QN BR",1br,3700,upper east side,2/2
"PATHWAY TO ""GORGEOUS"" 1BR-DM/ELEV/LNDRY-KING BR-DINE AREA-DW-CENTRL PK",1br,3600,midtown west,2/2
BARGAIN_2BR_MIDTOWN WEST_PERFECT FOR SHARING,2br,2995,midtown west,2/2
Apartamento 3 dormitorios 2 baños,,2650,college point,2/2
No Fee 3bed/1bath in Stuy Heights,3br,3200,brooklyn,2/2
"No Fee 3bed/2bath laundry in unit, fireplace",3br,5500,brooklyn,2/2
No Fee 3 bed/2 bath Garden Duplex in Crown Heights,3br,3250,brooklyn,2/2
**Private Backyard!! 2 Bed with Natural Light,2br,2500,brooklyn,2/2
Modern 1 Bedroom Apartment!!,1br,2400,bushwick,2/2
**Laundry in Unit** Sunny 3 Bed 2 Bath!!,3br,4400,"south slope, brooklyn",2/2
3 bedrooms 2 baths fully renovated parking is available,3br,2800,sheepshead bay,2/2
Renovated 1 Bedroom in Downtown Yonkers,1br,1600,yonkers,2/2
**PENTHOUSE**  WINDOWS& SKYLIGHTS THROUGHOUT! **2 LIVING ROOMS**,,3500,brooklyn,2/2
No Fee *Washer & Dryer* Balcony,,5496,east village,2/2
1 bedroom 1 bath fully renovated with backyard,1br,1900,bergen beach,2/2
GREAT VALUE--RENT STABILIZED LARGE 2 BEDRROM,2br,2225,richmond hill,2/2
1 FREE MONTH====CONDO FINISHES=====NO BETTER SKYSCRAPER VIEW IN NY====,,3900,tribeca,2/2
TOP FLOOR=CONDO FINISHES=WATER VIEWS=RENOVATED=MARBLE BATHROOM=,,2500,battery park,2/2
"MASSIVE SPACE WITH RENOVATED CONDO FINISHES, LARGE WINDOWS, OAK WOODFL",,4500,tribeca,2/2
Large 2 bedroom in Bedstuy - price to go,2br,3200,brooklyn,2/2
NO FEE | H/HW INCLUDED | EXPOSED BRICK Currently priced to GO!,,2500,brooklyn,2/2
Gorgeous 1Bed/1Bath in Prime Clinton Hill + Washer and Dryer in unit!,1br,3289,clinton hill / prospect heights,2/2
King size 2.5 bed 2bth duplex w-washer&dryer-in-unit🔥Backyard,5br,4200,williamsburg,2/2
"🌼 Beautiful Studio 🌼 W/D in Building  🌼 Great price, Great location",studio,1975,bushwick,2/2
2 level sunny loft with city views MUST SEE!,,6550,greenwich village,2/2
"Brownstone Junior One Bedroom – Prime Crown Heights! Steps to 2,5",1br,2195,crown heights/franklin ave,2/2
one bed 1600 by montefiore,1br,1600,bronx,2/2
"Great Value*True 3 bed & 2 bath, Great natural light, lots of clos",3br,2700,crown heights,2/2
"🌼 Beautiful 3bd/2Bath Duplex + Parking + Back Yard 🌼Great location,",3br,4500,bedford-stuyvesant,2/2
MODERN COZY 2 BEDROOM,2br,2350,brooklyn,2/2
"🌼 Beautiful 2bd/1Bath 🌼Great location, W/D in Building,",2br,2500,crown heights,2/2
"🌼 Beautiful 1bd/1Bath 🌼Great location, W/D in Building,",1br,2350,bedford-stuyvesant,2/2
Beautiful 2 Bedroom in Bridgeport! Coleman Apts.,2br,1750,bridgeport,2/2
🌼 Beautiful 1bd/1 Bath & Private outdoor Space 🔥 Prime location,1br,2850,clinton hill,2/2
"TOMPKINS AVE 2 BEDROOM, BED-STUY, NO FEE",2br,3200,bed-stuy,2/2
"In ""Pelham Bay"" area,large 3 bed apt,quiet area!",3br,2700,colonial av(pelham bay),2/2
3 Bedroom Apt for rent,3br,2200,yonkers,2/2
"Large 2 bedrooms apt,quiet area,utilites included!",2br,1700,pelham gardens(astor av),2/2
4 bedroom at a 3 bedroom price,3br,2400,yonkers,2/2
spacious one bedroom available now,1br,1550,yonkers,2/2
Apartment 2 bedroom Greenwich Ct,2br,3650,greenwich,2/2
"SPARKLING 2 BEDROOM NEAR PROSPECT PARK Q, B TRAINS",2br,2650,prospect lefferts,2/2
🌼 Beautiful 2bd/1Bath & W/D in Building 🔥 Prime location,2br,2600,crown heights,2/2
"🌼 Beautiful 5bd/3Bath + Private Roof Deck  🌼Great location,",5br,4500,crown heights,2/2
